id,product_name,skin_type
1,The Ordinary Natural Moisturising Factors + HA 30ml,uscat
2,CeraVe Facial Moisturising Lotion SPF 25 52ml,"acneic, gras, uscat"
3,The Ordinary Hyaluronic Acid 2% + B5 Hydration Support Formula 30ml,uscat
4,AMELIORATE Transforming Body Lotion 200ml,"acneic, gras, uscat"
5,CeraVe Moisturising Cream 454g,uscat
7,CeraVe Facial Moisturising Lotion No SPF 52ml,"acneic, gras, uscat"
8,The Ordinary Natural Moisturizing Factors + HA 100ml,uscat
9,CeraVe Smoothing Cream 177ml,"acneic, gras, uscat"
10,Clinique Moisture Surge 72 Hour Moisturiser 75ml,uscat
13,First Aid Beauty Ultra Repair Cream (56.7g),uscat
14,Avène Antirougeurs Jour Redness Relief Moisturizing Protecting Cream (40ml),uscat
15,Clinique Dramatically Different Moisturising Lotion+ 125ml with Pump,uscat
16,First Aid Beauty Ultra Repair Cream (170g),uscat
17,Weleda Skin Food (75ml),uscat
18,Neutrogena Hydro Boost City Shield SPF Moisturiser,uscat
20,JASON Aloe Vera 98% Moisturising Gel Tube 113g,uscat
21,CeraVe Moisturising Cream 177ml,uscat
22,Embryolisse Lait-Crème Concentré (75ml),necunoscut
23,La Roche-Posay Effaclar H Moisturiser 40ml,uscat
24,Bulldog Original Moisturiser 100ml,uscat
25,Clinique Dramatically Different Moisturising Gel 125ml with Pump,uscat
26,La Roche-Posay Effaclar Duo+ SPF30 40ml,"acneic, gras, uscat"
27,Avene Very High Protection B-Protect SPF 50+ 30ml,necunoscut
28,Avène Tolérance Extrême Emulsion 50ml,uscat
29,Estée Lauder DayWear Advanced Multi-Protection Anti-Oxidant Creme SPF15 N/C 50ml,uscat
30,Embryolisse Lait-Crème Concentré (30ml),necunoscut
31,The Chemistry Brand Intense Youth Complex Hand Cream 100ml,uscat
32,Avène Tolérance Extrême Cream 50ml,uscat
33,La Roche-Posay Toleriane Ultra Overnight Moisturiser 40ml,"acneic, gras, uscat"
34,First Aid Beauty Hello FAB Coconut Water Cream,necunoscut
35,Elemis Pro-Collagen Marine Cream SPF30 50ml,uscat
36,Avène Aqua Gel 50ml,uscat
37,La Roche-Posay Effaclar K(+) Anti-Blackhead Moisturiser 40ml,"acneic, gras"
38,The INKEY List Snow Mushroom,uscat
39,Weleda Skin Food (30ml),uscat
41,La Roche-Posay Nutritic Intense Rich 50ml,"acneic, gras, uscat"
42,Origins GinZing™ Energy-Boosting Tinted Moisturiser SPF40 50ml,"acneic, uscat"
43,Estée Lauder DayWear Multi-Protection Anti-Oxidant Creme SPF 15 30ml,uscat
44,Elizabeth Arden Eight Hour Great 8 Daily Defense Moisturizer 45ml,uscat
45,Skin Doctors Sd White & Bright (50ml),necunoscut
46,Origins GinZing Ultra Hydrating Energy-Boosting Cream Moisturiser 50ml,"acneic, gras, uscat"
47,Elizabeth Arden Eight Hour Cream Skin Protectant (50ml),"acneic, gras, uscat"
48,PRAI AGELESS Throat & Decolletage Crème 50ml,uscat
49,La Roche-Posay Toleriane Sensitive Fluid Moisturiser 40ml,"acneic, gras, uscat"
50,La Roche-Posay Effaclar MAT+ 40ml,"acneic, gras, uscat"
51,Mama Mio The Tummy Rub Butter 120ml - Fragrance Free,uscat
52,Clinique Moisture Surge 72 Hour Auto Replenishing Hydrator 50ml,uscat
53,Elemis Pro-Collagen Marine Cream 50ml,uscat
54,La Roche-Posay Toleriane Ultra Fluid 40ml,uscat
55,Clinique Moisture Surge 72-Hour Auto-Replenishing Hydrator 15ml,uscat
56,Clinique for Men Moisturising Lotion 100ml,uscat
57,Bulldog Oil Control Moisturiser 100ml,uscat
58,Bulldog Age Defence Moisturiser 100ml,uscat
59,The INKEY List Multi-Biotic Moisturiser 30ml,uscat
60,Caudalie Vinosource Moisturising Sorbet 40ml,uscat
61,Neutrogena Refreshingly Clear Oil-Free Moisturiser 50ml,"acneic, gras, uscat"
62,The INKEY List Turmeric Moisturiser 30ml,uscat
63,The Ordinary Vitamin C Suspension Cream 30% in Silicone 30ml,necunoscut
64,La Roche-Posay Toleriane Sensitive Moisturiser 40ml,"acneic, gras, uscat"
65,Avene Hydrance Hydrating Cream 40ml,uscat
66,Caudalie Vinoperfect Dark Spot Correcting Glycolic Night Cream 50ml,"acneic, gras, uscat"
68,Estée Lauder Revitalising Supreme + Global Anti-ageing Cell Power Crème 30ml,uscat
69,The Chemistry Brand Heel Hydration Complex 100ml,uscat
70,Elizabeth Arden Visible Difference Refining Moisture Cream (75ml),uscat
71,Antipodes Baptise H20 Ultra-Hydrating Water Gel 60ml,uscat
