product_name,product_url,product_type,clean_ingreds,price,descriere
The Ordinary Natural Moisturising Factors + HA 30ml,https://www.lookfantastic.com/the-ordinary-natural-moisturising-factors-ha-30ml/11396687.html,Moisturiser,"['capric triglyceride', 'cetyl alcohol', 'propanediol', 'stearyl alcohol', 'glycerin', 'sodium hyaluronate', 'arganine', 'aspartic acid', 'glycine', 'alanine', 'serine', 'valine', 'isoleucine', 'proline', 'threonine', 'histidine', 'phenylalanine', 'glucose', 'maltose', 'fructose', 'trehalose', 'sodium pca', 'pca', 'sodium lactate', 'urea', 'allantoin', 'linoleic acid', 'oleic acid', 'phytosteryl canola glycerides', 'palmitic acid', 'stearic acid', 'lecithin', 'triolein', 'tocopherol', 'carbomer', 'isoceteth-20', 'polysorbate 60', 'sodium chloride', 'citric acid', 'trisodium ethylenediamine disuccinate', 'pentylene glycol', 'triethanolamine', 'sodium hydroxide', 'phenoxyethanol', 'chlorphenesin']",£5.20,"Încurajând hidratarea de lungă durată, factorii hidratanți naturali obișnuiți + HA este o cremă facială ușoară, care joacă activități care imită pielea pentru a-și potoli și întări vizibil suprafața.PCA de sodiu și acid hialuronic ajută la blocarea în umiditatea plumping, protejându -se împotriva uscăciunii pentru a lăsa pielea să se simtă suplă și să pară radiantă."
CeraVe Facial Moisturising Lotion SPF 25 52ml,https://www.lookfantastic.com/cerave-facial-moisturising-lotion-spf-25-52ml/11798689.html,Moisturiser,"['homosalate', 'glycerin', 'octocrylene', 'ethylhexyl', 'salicylate', 'niacinamide', 'silica', 'butyl methoxydibenzoylmethane', 'dimethicon', 'cetearyl alcohol', 'peg-100 stearate', 'glyceryl stearate', 'phenoxyethanol', 'stearic acid', 'behentrimonium methosulfate', 'caprylyl glycol', 'palmitic acid', 'ammonium polyacryloyldmethyl taurate', 'xanthan gum', 'disodium edta', 'tocopherol', 'sodium lauroyl', 'myristic acid', 'sodium hyaluronate', 'ceramide np', 'ceramide ap', 'phytosphingosine', 'cholesterol', 'cerbomer', 'ethylhexyl glycerin', 'ceramide eop']",£13.00,"Combinând beneficiile hidratantului și protecției solare, loțiunea de hidratare facială Ceraves SM SPF25 oferă protecție cu spectru larg și hidratare de lungă durată pentru tipuri normale de piele.Îmbogățită cu trei ceramide și acid hialuronic, formula funcționează pentru a reține umiditatea pentru rezultatele vizibil netede și pline."
The Ordinary Hyaluronic Acid 2% + B5 Hydration Support Formula 30ml,https://www.lookfantastic.com/the-ordinary-hyaluronic-acid-2-b5-hydration-support-formula-30ml/11363395.html,Moisturiser,"['sodium hyaluronate', 'sodium hyaluronate', 'panthenol', 'ahnfeltia concinna extract', 'glycerin', 'pentylene glycol', 'propanediol', 'polyacrylate crosspolymer-6', 'ppg-26 buteth-26', 'castor oil', 'trisodium ethylenediamine disuccinate', 'citric acid', 'ethoxydiglycol', 'caprylyl glycol', 'hexylene glycol', 'ethylhexyl glycerin', 'phenoxyethanol', 'chlorphenesin']",£6.20,"O reformulare a celui mai îndrăgit ser de hidratare obișnuit, acid hialuronic 2% + B5, hidratează instantaneu și se prăbușește vizibil, în timp ce netezind aspectul texturii și liniilor fine.Această formulă actualizată are o tentă galbenă ușoară în comparație cu formula anterioară datorită adăugării unui amestec de ceramidă.Aceasta este culoarea naturală a acestui nou materie primă. Acidul hialuronic obișnuit 2% + B5 oferă o hidratare instantanee pentru a oferi o piele mai moale, mai netedă, cu aspect sănătos.Formula ușoară sporește nivelul de hidratare a pielii cu hrănire de toată ziua și ajută pielea să se blocheze în umiditate pentru a face o piele uscată vizibil.Acidul hialuronic 2% + B5 promovează, de asemenea, senzația de supletitudine și elasticitate, reducând în același timp aspectul de linii fine și uscate. Această formulare conține 5 forme de acid hialuronic, ceea ce ajută la furnizarea de o hidratare puternică.Acidul hialuronic este un umectant găsit în mod natural în piele, unde se leagă de apă.Formele incluse sunt molecule cu greutate moleculară scăzută, medie și mare, cu greutate moleculară, o încrucișare HA și HA hidrolizată. Formularea conține, de asemenea, ceramide pentru a ajuta la menținerea umidității blocate. Ceramidele sunt lipide (molecule grase), care se găsesc natural pe piele care ajută la hrănirea barierei pielii pentru a menține pielea protejată și hidratată.Ceramidele utilizate în această formulă sunt cunoscute sub numele de sfingolipids.pro-vitamina B5 ajută la susținerea formării de componente cheie ale barierei pielii precum ceramidele și acizii grași, ceea ce ajută în continuare la menținerea umidității blocate, menținând pielea hidratată pentru mai mult timp.Aspect de linii uscate fine ** Testare pe 32 de persoane, de 2 ori pe zi timp de 4 săptămâni"
AMELIORATE Transforming Body Lotion 200ml,https://www.lookfantastic.com/ameliorate-transforming-body-lotion-200ml/11865352.html,Moisturiser,"['ammonium lactate', 'c12-15', 'glycerin', 'prunus amygdalus dulcis', 'ethylhexyl palmitate', 'cetearyl alcohol', 'glyceryl stearate', 'peg-100 stearate', 'dimethicon', 'hydroxyethyl cellulose', 'phenoxyethanol', 'cetearyl glucoside', 'xanthan gum', 'sodium benzoate', 'sodium stearoyl glutamate', 'tocopheryl acetate', 'parfum', 'potassium sorbate', 'pentylene glycol', 'hydrolyzed lactis proteinum', 'disodium edta', 'lactic acid', 'serine', 'sodium lactate', 'sorbitol', 'urea', 'linalool', 'citronellol', 'sodium chloride', 'citrus aurantium dulcis', 'limonene', 'coumarin', 'juniperus mexicana oil', 'alpha-isomethyl ionone', 'allantoin', 'pelargonium graveolens extract', 'geraniol']",£22.50,"Proiectată pentru a exfolia și a condiționa pielea, loțiunea de corp transformatoare de la Ameliorate este îmbogățită cu acid lactic pentru a ajuta la eliminarea ușoară a celulelor moarte și pentru a perfecționa aspectul porii.87% au fost de acord că aspectul pielii lor s -a îmbunătățit și s -a simțit mai moale și mai neted*.Formulată cu o textură ușoară, cu absorbție rapidă, loțiunea de zi cu zi a corpului încearcă să promoveze un ten cu aspect mai neted și mai radiant.*Testat pe 77 de persoane cu piele de pui aspră, uscată, denaturată într-un proces independent de consum de 4 săptămâni."
CeraVe Moisturising Cream 454g,https://www.lookfantastic.com/cerave-moisturising-cream-454g/11798691.html,Moisturiser,"['glycerin', 'cetearyl alcohol', 'capric triglyceride', 'behentrimonium methosulfate', 'cetearyl alcohol', 'cetyl alcohol', 'ceramide 3', 'ceramide 6 ii', 'ceramide 1', 'sodium hyaluronate', 'cholesterol', 'petrolatum', 'dimethicon', 'potassium phosphate', 'dipotassium phosphate', 'sodium lauroyl', 'disodium edta', 'phenoxyethanol', 'methylparaben', 'propylparaben', 'phytosphingosine', 'carbomer', 'xanthan gum']",£16.00,"Înfășurați-vă pielea în puterile de reumplere ale cremei hidratante ceravei.Alimentat de tehnologia brevetată MVE, fața multiplă și crema de corp oferă ingrediente hrănitoare pielii până la 24 de ore.Acidul hialuronic este cunoscut pentru beneficiile sale de hidratare, străduindu-se să se blocheze într-un strat de umiditate. Pentru a fi utilizat zilnic, hidratanta absorbind rapid alunecă fără a depune un film gras.Încurajând rezultatele suple și confortabile cu fiecare utilizare, crema hidratantă este potrivită pentru utilizare atât pe față, cât și pe corp."
CeraVe Moisturising Lotion 473ml,https://www.lookfantastic.com/cerave-moisturising-lotion-473ml/11798695.html,Moisturiser,"['glycerin', 'capric triglyceride', 'cetearyl alcohol', 'cetyl alcohol', 'dimethicon', 'phenoxyethanol', 'polysorbate-20', 'ceteareth 20', 'behentrimonium methosulfate', 'polyglyceryl-3 diisostearate', 'sodium lauroyl', 'ethylhexyl glycerin', 'potassium phosphate', 'disodium edta', 'dipotassium phosphate', 'ceramide np', 'ceramide ap', 'phytosphingosine', 'cholesterol', 'xanthan gum', 'carbomer', 'sodium hyaluronate', 'tocopherol', 'ceramide eop']",£15.00,"Pielea uscată eficientă uscată și sensibilă timp de până la 24 de ore, loțiunea hidratantă pentru cerave pentru pielea uscată până la uscat este un hidratarul ușor, cu lumină fluidă.Utilizați ca parte a regimurilor de piele de dimineață și de seară pentru a obține un ten vizibil radiant și cu aspect de plumper."
CeraVe Facial Moisturising Lotion No SPF 52ml,https://www.lookfantastic.com/cerave-facial-moisturising-lotion-no-spf-52ml/11798688.html,Moisturiser,"['glycerin', 'capric triglyceride', 'niacinamide', 'cetearyl alcohol', 'ceramide 3', 'ceramide 6 ii', 'ceramide 1', 'phytosphingosine', 'sodium hyaluronate', 'sodium hydroxide', 'dimethicon', 'behentrimonium methosulfate', 'ceteareth 20', 'polyglyceryl-3 diisostearate', 'cholesterol', 'xanthan gum', 'carbomer', 'disodium edta', 'dipotassium phosphate', 'potassium phosphate', 'sodium lauroyl']",£13.00,"Ideal pentru pielea normală până la uscat, cel mai bine vândut loțiune de hidratare facială PM cu cerave este un hidratant ultra-ușor, care menține tenul hidratat până la 24 de ore. Înfășurând trei tipuri de ceramide și acid hialuronic, formula vizibil hrănește pielea, blocând umiditatea și protejarea împotriva uscăciunii.Hidratarea de răcire este perfectă pentru tipurile de piele sensibile, iar beneficiile non-comedogene o fac potrivită pentru cei care sunt predispuși la cusur."
The Ordinary Natural Moisturizing Factors + HA 100ml,https://www.lookfantastic.com/the-ordinary-natural-moisturizing-factors-ha-100ml/11638505.html#,Moisturiser,"['capric triglyceride', 'cetyl alcohol', 'propanediol', 'stearyl alcohol', 'glycerin', 'sodium hyaluronate', 'arganine', 'aspartic acid', 'glycine', 'alanine', 'serine', 'valine', 'isoleucine', 'proline', 'threonine', 'histidine', 'phenylalanine', 'glucose', 'maltose', 'fructose', 'trehalose', 'sodium pca', 'pca', 'sodium lactate', 'urea', 'allantoin', 'linoleic acid', 'oleic acid', 'phytosteryl canola glycerides', 'palmitic acid', 'stearic acid', 'lecithin', 'triolein', 'tocopherol', 'carbomer', 'isoceteth-20', 'polysorbate 60', 'sodium chloride', 'citric acid', 'trisodium ethylenediamine disuccinate', 'pentylene glycol', 'triethanolamine', 'sodium hydroxide', 'phenoxyethanol', 'chlorphenesin']",£6.80,"Stinge pielea parchetă cu factorii hidratanți naturali ai obișnuitului + ha.Formula non-grasă valorifică puterea factorilor de hidratare naturală (NMF), care acționează ca un scut de protecție, apărând stratul exterior al pielii și asigurând o hidratare optimă. Formula de înaltă performanță reînnoiește umiditatea pierdută cu o infuzie concentrată de aminoacizi, acizi grași și acizi hialuronic.Aceste elemente funcționează armonios pentru a satura suprafața pielii cu umiditate instantanee, oferind o hrănire de lungă durată pentru un ten radiant, cu aspect mai strălucitor."
CeraVe Smoothing Cream 177ml,https://www.lookfantastic.com/cerave-smoothing-cream-177ml/12207665.html,Moisturiser,"['glycerin', 'behentrimonium methosulfate', 'cetearyl alcohol', 'paraffinum liquidum', 'glyceryl stearate se', 'ammonium lactate', 'salicylic acid', 'triethanolamine', 'cetyl alcohol', 'niacinamide', 'peg-100 stearate', 'vitamin d3', 'ceramide 3', 'ceramide 6 ii', 'ceramide 1', 'cholesterol', 'phytosphingosine', 'sodium hyaluronate', 'phenoxyethanol', 'dimethicon', 'methylparaben', 'edetate disodium', 'propylparaben', 'sodium lauroyl', 'carbomer', 'xanthan gum']",£12.00,"Cerave Neteding Creamis O formulă intensă hidratantă, concepută pentru a combate o varietate de preocupări ale pielii, inclusiv denivelări nedorite, scaliness și uscăciune extremă.Reumplu și neriritiv, crema bogată este ambalată cu ingrediente esențiale pentru a beneficia atât fața, cât și corpul. Acidul salicilic și acidul lactic se exfoliază ușor pentru a îndepărta celulele moarte ale pielii și a înmuia zonele accidentate ale pielii, având grijă să nu deranjeze bariera de umiditate a pielii în acest proces.Ceramidele ajută la întărirea barierei pielii și la blocare într -un strat de umiditate pentru a preveni alte pete de flăcări sau uscăciune.Deși bogată în textură, crema este non-grasă și evită să lase în urmă un reziduu neplăcut și lipicios.Cu proprietăți liniștitoare și hidratare de 24 de ore, acest hidratant pentru față și corp este foarte hrănitor și poate fi aplicat la psoriazis și piele predispusă la eczema.Non-Comedogenic și Hipoalergenic.Free din parfum și coloranți."
Clinique Moisture Surge 72 Hour Moisturiser 75ml,https://www.lookfantastic.com/clinique-moisture-surge-72-hour-moisturiser-75ml/12506978.html,Moisturiser,"['dimethicon', 'butylene glycol', 'glycerin', 'trisiloxane', 'trehalose', 'sucrose', 'ammonium acryloyldimethyltaurate/vp', 'hydroxyethyl urea', 'camellia sinensis extract', 'silybum marianum extract', 'betula alba bark extract', 'saccharomyces lysate extract', 'aloe barbadenis extract', 'thermus thermophillus ferment', 'caffeinee', 'sorbitol', 'palmitoyl hexapeptide-12', 'sodium hyaluronate', 'caprylyl glycol', 'oleth-10', 'sodium polyaspartate', 'saccharide isomerate', 'hydrogenated lecithin', 'tocopheryl acetate', 'acrylates/c10-30 alkyl', 'glyceryl polymethacrylate', 'tromethamine', 'peg-8', 'hexylene glycol', 'magnesium ascorbyl phosphate', 'disodium edta', 'bht', 'phenoxyethanol', 'ci 14700', 'ci 19140']",£37.00,"Oferă-ți pielii un strat suplimentar de hidratare atât de necesară, cu hidratare de umiditate de 72 de ore, o formulă ușoară care este perfectă pentru stratul cu hidratant și machiaj normal.Cu o textură răcoritoare, asemănătoare cu gelul, tenul tău va fi tratat cu o explozie de calm rece, care te lasă cu un finisaj de rouă care durează chiar și odată ce te-ai spălat pe față.Gelul hidratant ajută la legarea apei la pielea ta, îmbunătățind în același timp aspectul liniilor fine și al petelor uscate.Vei rămâne cu o viziune moale, netedă, precum și un confort care durează chiar și atunci când experimentezi schimbări în climă și umiditate.Folosind tehnologia auto-replenării și cofeina, gelul revigorează suprafața pielii tale, în timp ce apa de aloe, acidul hialuronic și umectanții asigură o pătură calmantă de apă."
CeraVe Moisturising Cream 50ml,https://www.lookfantastic.com/cerave-moisturising-cream-50ml/11798694.html,Moisturiser,"['glycerin', 'cetearyl alcohol', 'capric triglyceride', 'behentrimonium methosulfate', 'cetearyl alcohol', 'cetyl alcohol', 'ceramide 3', 'ceramide 6 ii', 'ceramide 1', 'sodium hyaluronate', 'cholesterol', 'petrolatum', 'dimethicon', 'potassium phosphate', 'dipotassium phosphate', 'sodium lauroyl', 'disodium edta', 'phenoxyethanol', 'methylparaben', 'propylparaben', 'phytosphingosine', 'carbomer', 'xanthan gum']",£4.00,"Oferiți un sentiment de confort pielii uscate și sensibile cu crema hidratantă Cerave.Alimentată de tehnologia de livrare MveÂ®, formula bogată oferă până la 24 de ore de hidratare pe față și corp, textura sa non-grasă rămâne blândă și ușoară pe piele. Crema de față combină un amestec de ceramide cu acid hialuronic pentru a ajuta la hrănirea barierei pielii și pentru a oferi un impuls mult necesar de umiditate.După utilizare, pielea se simte reînnoită și mătăsos în atingere, cu aspectul uscăciunii diminuate."
CeraVe Moisturising Cream 340g,https://www.lookfantastic.com/cerave-moisturising-cream-340g/11798692.html,Moisturiser,"['glycerin', 'cetearyl alcohol', 'capric triglyceride', 'behentrimonium methosulfate', 'cetearyl alcohol', 'cetyl alcohol', 'ceramide 3', 'ceramide 6 ii', 'ceramide 1', 'sodium hyaluronate', 'cholesterol', 'petrolatum', 'dimethicon', 'potassium phosphate', 'dipotassium phosphate', 'sodium lauroyl', 'disodium edta', 'phenoxyethanol', 'methylparaben', 'propylparaben', 'phytosphingosine', 'carbomer', 'xanthan gum']",£13.00,"Restaurați pielea uscată, incomodă, cu crema hidratantă, un hidratant bogat și hrănitor, care oferă o creștere a hidratației mult necesare pe pielea uscată și sensibilă.Blocarea umidității pentru hidratarea de toată ziua, utilizează tehnologia de livrare MveÂ®, care asigură eliberarea controlată a ingredientelor pentru hidratare de 24 de ore.Blând pe piele, lasă mâncărime, pete incomode simțindu -se moi și reumplute.Dezvoltat de dermatoligiști.Asociația Națională a Eczemei ​​Sigiliul de acceptare ¢."
First Aid Beauty Ultra Repair Cream (56.7g),https://www.lookfantastic.com/first-aid-beauty-ultra-repair-cream-56.7g/11054496.html,Moisturiser,"['colloidal oatmeal', 'stearic acid', 'glycerin', 'c12-15', 'capric triglyceride', 'glyceryl stearate', 'glyceryl stearate se', 'cetearyl alcohol', 'caprylyl glycol', 'phenoxyethanol', 'butyrospermum parkii', 'squalene', 'allantoin', 'sodium hydroxide', 'dimethicon', 'xanthan gum', 'disodium edta', 'chrysanthemum parthenium (feverfew) extract', 'camellia sinensis extract', 'butylene glycol', 'glycyrrhiza glabra root extract', 'eucalyptus globulus', 'ceramide 3']",£12.00,"Introducerea cremei de reparație Ultra Repair First Aid, o formulă premiată care hrănește intens pielea cu un efect calmant până la 24 de ore.Potrivită pentru tipurile de piele sensibile, predispuse la eczema, crema cu mai multe sarcini folosește o serie de activități hidratante pentru piele care se simte mai confortabilă după o singură utilizare.Alimentat de ovăz coloidal, ingredientul eroului lucrează pentru a consolida vizibil bariera de umiditate a pielii.Untul de shea și ceremida 3 își folosesc proprietățile de hrănire pentru a condiționa și netezi senzația de flăcări, reducând aspectul pielii uscate și dure.Proiectat pentru față și corp, hidratantul este potrivit și pentru copii și bebeluși."
